dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1960-01-01,2.425,0.215,Almere,Netherlands,52.24N,5.26E
1960-02-01,3.083,0.245,Almere,Netherlands,52.24N,5.26E
1960-03-01,5.8580000000000005,0.34700000000000003,Almere,Netherlands,52.24N,5.26E
1960-04-01,8.870000000000003,0.226,Almere,Netherlands,52.24N,5.26E
1960-05-01,13.088,0.454,Almere,Netherlands,52.24N,5.26E
1960-06-01,16.281,0.342,Almere,Netherlands,52.24N,5.26E
1960-07-01,15.752999999999998,0.213,Almere,Netherlands,52.24N,5.26E
1960-08-01,16.073,0.451,Almere,Netherlands,52.24N,5.26E
1960-09-01,13.96,0.163,Almere,Netherlands,52.24N,5.26E
1960-10-01,10.681,0.193,Almere,Netherlands,52.24N,5.26E
1960-11-01,7.492000000000001,0.202,Almere,Netherlands,52.24N,5.26E
1960-12-01,2.766,0.161,Almere,Netherlands,52.24N,5.26E
1961-01-01,1.781,0.204,Almere,Netherlands,52.24N,5.26E
1961-02-01,6.159,0.361,Almere,Netherlands,52.24N,5.26E
1961-03-01,7.395,0.21600000000000005,Almere,Netherlands,52.24N,5.26E
1961-04-01,10.536,0.381,Almere,Netherlands,52.24N,5.26E
1961-05-01,11.182,0.588,Almere,Netherlands,52.24N,5.26E
1961-06-01,15.562999999999999,0.308,Almere,Netherlands,52.24N,5.26E
1961-07-01,15.719,0.241,Almere,Netherlands,52.24N,5.26E
1961-08-01,16.158,0.136,Almere,Netherlands,52.24N,5.26E
1961-09-01,16.965999999999998,0.214,Almere,Netherlands,52.24N,5.26E
1961-10-01,11.569,0.341,Almere,Netherlands,52.24N,5.26E
1961-11-01,4.896,0.301,Almere,Netherlands,52.24N,5.26E
1961-12-01,1.378,0.188,Almere,Netherlands,52.24N,5.26E
1962-01-01,3.2569999999999997,0.181,Almere,Netherlands,52.24N,5.26E
1962-02-01,2.806,0.146,Almere,Netherlands,52.24N,5.26E
1962-03-01,2.052,0.229,Almere,Netherlands,52.24N,5.26E
1962-04-01,7.943,0.235,Almere,Netherlands,52.24N,5.26E
1962-05-01,10.165,0.246,Almere,Netherlands,52.24N,5.26E
1962-06-01,13.72,0.467,Almere,Netherlands,52.24N,5.26E
1962-07-01,14.790999999999999,0.17800000000000002,Almere,Netherlands,52.24N,5.26E
1962-08-01,15.411,0.28800000000000003,Almere,Netherlands,52.24N,5.26E
1962-09-01,13.110999999999999,0.304,Almere,Netherlands,52.24N,5.26E
1962-10-01,10.732,0.477,Almere,Netherlands,52.24N,5.26E
1962-11-01,4.158,0.258,Almere,Netherlands,52.24N,5.26E
1962-12-01,-0.6990000000000003,0.265,Almere,Netherlands,52.24N,5.26E
1963-01-01,-5.634,0.249,Almere,Netherlands,52.24N,5.26E
1963-02-01,-3.723,0.277,Almere,Netherlands,52.24N,5.26E
1963-03-01,4.769,0.267,Almere,Netherlands,52.24N,5.26E
1963-04-01,8.787,0.273,Almere,Netherlands,52.24N,5.26E
1963-05-01,10.993,0.377,Almere,Netherlands,52.24N,5.26E
1963-06-01,15.69,0.355,Almere,Netherlands,52.24N,5.26E
1963-07-01,16.365,0.262,Almere,Netherlands,52.24N,5.26E
1963-08-01,15.667000000000002,0.123,Almere,Netherlands,52.24N,5.26E
1963-09-01,14.144,0.278,Almere,Netherlands,52.24N,5.26E
1963-10-01,9.54,0.266,Almere,Netherlands,52.24N,5.26E
1963-11-01,8.277999999999999,0.31,Almere,Netherlands,52.24N,5.26E
1963-12-01,-1.2119999999999995,0.29600000000000004,Almere,Netherlands,52.24N,5.26E
1964-01-01,0.54,0.287,Almere,Netherlands,52.24N,5.26E
1964-02-01,3.387,0.24,Almere,Netherlands,52.24N,5.26E
1964-03-01,2.8240000000000003,0.154,Almere,Netherlands,52.24N,5.26E
1964-04-01,8.841000000000003,0.211,Almere,Netherlands,52.24N,5.26E
1964-05-01,14.226,0.35,Almere,Netherlands,52.24N,5.26E
1964-06-01,15.489,0.319,Almere,Netherlands,52.24N,5.26E
1964-07-01,16.987000000000002,0.231,Almere,Netherlands,52.24N,5.26E
1964-08-01,16.46,0.24,Almere,Netherlands,52.24N,5.26E
1964-09-01,14.602,0.14300000000000002,Almere,Netherlands,52.24N,5.26E
1964-10-01,8.279,0.335,Almere,Netherlands,52.24N,5.26E
1964-11-01,6.369,0.208,Almere,Netherlands,52.24N,5.26E
1964-12-01,2.186,0.257,Almere,Netherlands,52.24N,5.26E
1965-01-01,2.535,0.13699999999999998,Almere,Netherlands,52.24N,5.26E
1965-02-01,1.994,0.183,Almere,Netherlands,52.24N,5.26E
1965-03-01,4.495,0.245,Almere,Netherlands,52.24N,5.26E
1965-04-01,7.6800000000000015,0.198,Almere,Netherlands,52.24N,5.26E
1965-05-01,12.039000000000001,0.293,Almere,Netherlands,52.24N,5.26E
1965-06-01,15.005,0.411,Almere,Netherlands,52.24N,5.26E
1965-07-01,15.215,0.382,Almere,Netherlands,52.24N,5.26E
1965-08-01,15.63,0.314,Almere,Netherlands,52.24N,5.26E
1965-09-01,13.337,0.199,Almere,Netherlands,52.24N,5.26E
1965-10-01,10.208,0.261,Almere,Netherlands,52.24N,5.26E
1965-11-01,2.716,0.2,Almere,Netherlands,52.24N,5.26E
1965-12-01,4.082,0.246,Almere,Netherlands,52.24N,5.26E
1966-01-01,0.058999999999999934,0.211,Almere,Netherlands,52.24N,5.26E
1966-02-01,4.16,0.5710000000000001,Almere,Netherlands,52.24N,5.26E
1966-03-01,5.206,0.264,Almere,Netherlands,52.24N,5.26E
1966-04-01,8.22,0.16699999999999998,Almere,Netherlands,52.24N,5.26E
1966-05-01,13.258,0.34700000000000003,Almere,Netherlands,52.24N,5.26E
1966-06-01,17.012999999999998,0.239,Almere,Netherlands,52.24N,5.26E
1966-07-01,15.727,0.41,Almere,Netherlands,52.24N,5.26E
1966-08-01,15.988,0.232,Almere,Netherlands,52.24N,5.26E
