year,winner,gender,country,time,marathon
2017,Wilson Kipsang,Male,Kenya,02:03:58,Tokyo
2017,Sarah Chepchirchir,Female,Kenya,02:19:47,Tokyo
2017,Eliud Kipchoge,Male,Kenya,02:03:32,Berlin
2017,Gladys Cherono,Female,Kenya,02:20:23,Berlin
2017,Geoffrey Kirui,Male,Kenya,02:09:37,Boston
2017,Edna Kiplagat,Female,Kenya,02:21:52,Boston
2017,Geoffrey Kamworor,Male,Kenya,02:10:53,NYC
2017,Shalane Flanagan,Female,United States,02:26:53,NYC
2017,Daniel Wanjiru,Male,Kenya,02:05:48,London
2017,Mary Keitany,Female,Kenya,02:17:01,London
2017,Galen Rupp,Male,United States,02:09:20,Chicago
2017,Tirunesh Dibaba,Female,Ethiopia,02:18:31,Chicago
