year,winner,gender,country,time,marathon
2015,Endeshaw Negesse,Male,Ethiopia,02:06:00,Tokyo
2015,Birhane Dibaba,Female,Ethiopia,02:23:15,Tokyo
2015,Eliud Kipchoge,Male,Kenya,02:04:00,Berlin
2015,Gladys Cherono,Female,Kenya,02:19:25,Berlin
2015,Lelisa Desisa Benti,Male,Ethiopia,02:09:17,Boston
2015,Caroline Rotich,Female,Kenya,02:24:55,Boston
2015,Stanley Biwott,Male,Kenya,02:10:34,NYC
2015,Mary Keitany,Female,Kenya,02:24:25,NYC
2015,Eliud Kipchoge,Male,Kenya,02:04:42,London
2015,Tigist Tufa,Female,Ethiopia,02:23:21,London
2015,Dickson Chumba,Male,Kenya,02:09:25,Chicago
2015,Florence Kiplagat,Female,Kenya,02:23:33,Chicago
