year,winner,gender,country,time,marathon
1897,John J. McDermott,Male,United States,02:55:10,Boston
1898,Ronald J. MacDonald,Male,Canada,02:42:00,Boston
1899,Lawrence Brignolia,Male,United States,02:54:38,Boston
1900,Jack Caffery,Male,Canada,02:39:44,Boston
1901,Jack Caffery,Male,Canada,02:29:23,Boston
1902,Sammy Mellor,Male,United States,02:43:12,Boston
1903,John Lorden,Male,United States,02:41:29,Boston
1904,Michael Spring,Male,United States,02:38:04,Boston
1905,Frederick Lorz,Male,United States,02:38:25,Boston
1906,Tim Ford,Male,United States,02:45:45,Boston
1907,Thomas Longboat,Male,Canada,02:24:24,Boston
1908,Thomas Morrissey,Male,United States,02:25:43,Boston
1909,Henri Renaud,Male,United States,02:53:36,Boston
1910,Fred Cameron,Male,Canada,02:28:52,Boston
1911,Clarence DeMar,Male,United States,02:21:39,Boston
1912,Michael J. Ryan,Male,United States,02:21:18,Boston
1913,Fritz Carlson,Male,United States,02:25:14,Boston
1914,James Duffy,Male,Canada,02:25:14,Boston
1915,�douard Fabre,Male,Canada,02:31:41,Boston
1916,Arthur Roth,Male,United States,02:27:16,Boston
1917,Bill Kennedy,Male,United States,02:28:37,Boston
1919,Carl Linder,Male,United States,02:29:13,Boston
1920,Peter Trivoulides,Male,Greece,02:29:31,Boston
1921,Frank Zuna,Male,United States,02:18:57,Boston
1922,Clarence DeMar,Male,United States,02:18:10,Boston
1923,Clarence DeMar,Male,United States,02:23:47,Boston
1924,Clarence DeMar,Male,United States,02:29:40,Boston
1925,Charles Mellor,Male,United States,02:33:00,Boston
1926,Johnny Miles,Male,Canada,02:25:40,Boston
1927,Clarence DeMar,Male,United States,02:40:22,Boston
1928,Clarence DeMar,Male,United States,02:37:07,Boston
1929,Johnny Miles,Male,Canada,02:33:08,Boston
1930,Clarence DeMar,Male,United States,02:34:48,Boston
1931,James Henigan,Male,United States,02:46:45,Boston
1932,Paul de Bruyn,Male,Germany,02:33:36,Boston
1933,Leslie S. Pawson,Male,United States,02:31:01,Boston
1934,Dave Komonen,Male,Canada,02:32:53,Boston
1935,John A. Kelley,Male,United States,02:32:07,Boston
1936,Ellison Brown,Male,United States,02:33:40,Boston
1937,Walter Young,Male,Canada,02:33:20,Boston
1938,Leslie S. Pawson,Male,United States,02:35:34,Boston
1939,Ellison Brown,Male,United States,02:28:51,Boston
1940,G�rard C�t�,Male,Canada,02:28:28,Boston
1941,Leslie S. Pawson,Male,United States,02:30:38,Boston
1942,Joe Smith,Male,United States,02:26:51,Boston
1943,G�rard C�t�,Male,Canada,02:28:25,Boston
1944,G�rard C�t�,Male,Canada,02:31:50,Boston
1945,John A. Kelley,Male,United States,02:30:40,Boston
1946,Stylianos Kyriakides,Male,Greece,02:29:27,Boston
1947,Suh Yun-bok,Male,South Korea,02:25:39,Boston
1948,G�rard C�t�,Male,Canada,02:31:02,Boston
1949,G�sta Leandersson,Male,Sweden,02:31:50,Boston
1950,Ham Kee-Yong,Male,South Korea,02:32:39,Boston
1951,Shigeki Tanaka,Male,Japan,02:27:45,Boston
1952,Doroteo Flores,Male,Guatemala,02:31:53,Boston
1953,Keizo Yamada,Male,Japan,02:18:51,Boston
1954,Veikko Karvonen,Male,Finland,02:20:39,Boston
1955,Hideo Hamamura,Male,Japan,02:18:22,Boston
1956,Antti Viskari,Male,Finland,02:14:14,Boston
1957,John J. Kelley,Male,United States,02:20:05,Boston
1958,Franjo Mihalic,Male,Yugoslavia,02:25:54,Boston
1959,Eino Oksanen,Male,Finland,02:22:42,Boston
1960,Paavo Kotila,Male,Finland,02:20:54,Boston
1961,Eino Oksanen,Male,Finland,02:23:39,Boston
1962,Eino Oksanen,Male,Finland,02:23:48,Boston
1963,Aur�le Vandendriessche,Male,Belgium,02:18:58,Boston
1964,Aur�le Vandendriessche,Male,Belgium,02:19:59,Boston
1965,Morio Shigematsu,Male,Japan,02:16:33,Boston
1966,Kenji Kimihara,Male,Japan,02:17:11,Boston
1966,Bobbi Gibb,Female,United States,03:21:40,Boston
1967,Dave McKenzie,Male,New Zealand,02:15:45,Boston
1967,Bobbi Gibb,Female,United States,03:27:17,Boston
1968,Amby Burfoot,Male,United States,02:22:17,Boston
1968,Bobbi Gibb,Female,United States,03:30:00,Boston
1969,Yoshiaki Unetani,Male,Japan,02:13:49,Boston
1969,Sara Mae Berman,Female,United States,03:22:46,Boston
1970,Ron Hill,Male,United Kingdom,02:10:30,Boston
1970,Sara Mae Berman,Female,United States,03:05:07,Boston
1970,Gary Muhrcke,Male,United States,02:31:38,NYC
1971,�lvaro Mej�a,Male,Colombia,02:18:45,Boston
1971,Sara Mae Berman,Female,United States,03:08:30,Boston
1971,Norman Higgins,Male,United States,02:22:54,NYC
1972,Olavi Suomalainen,Male,Finland,02:15:39,Boston
1972,Nina Kuscsik,Female,United States,03:10:26,Boston
1972,Sheldon Karlin,Male,United States,02:27:52,NYC
1972,Nina Kuscsik,Female,United States,03:08:41,NYC
1973,Jon Anderson,Male,United States,02:16:03,Boston
1973,Jacqueline Hansen,Female,United States,03:05:59,Boston
1973,Tom Fleming,Male,United States,02:21:54,NYC
1973,Nina Kuscsik,Female,United States,02:57:07,NYC
1974,G�nter Hallas,Male,Germany,02:44:53,Berlin
1974,Jutta von Haase,Female,Germany,03:22:01,Berlin
1974,Neil Cusack,Male,Ireland,02:13:39,Boston
1974,Miki Gorman,Female,United States,02:47:11,Boston
1974,Norbert Sander,Male,United States,02:26:30,NYC
1974,Kathrine Switzer,Female,United States,03:07:29,NYC
1975,Ralf Bochr�der,Male,Germany,02:47:08,Berlin
1975,Christin Bochr�der,Female,Germany,02:59:15,Berlin
1975,Bill Rodgers,Male,United States,02:09:55,Boston
1975,Liane Winter,Female,Germany,02:42:24,Boston
1975,Tom Fleming,Male,United States,02:19:27,NYC
1975,Kim Merritt,Female,United States,02:46:14,NYC
1976,Ingo Sensburg,Male,Germany,02:23:08,Berlin
1976,Jutta von Haase,Female,Germany,03:05:19,Berlin
1976,Jack Fultz,Male,United States,02:20:19,Boston
1976,Kim Merritt,Female,United States,02:47:10,Boston
1976,Bill Rodgers,Male,United States,02:10:10,NYC
1976,Miki Gorman,Female,United States,02:39:11,NYC
1977,G�nter Mielke,Male,Germany,02:15:19,Berlin
1977,Christa Vahlensieck,Female,Germany,02:34:48,Berlin
1977,Jerome Drayton,Male,Canada,02:14:46,Boston
1977,Miki Gorman,Female,United States,02:48:33,Boston
1977,Bill Rodgers,Male,United States,02:11:28,NYC
1977,Miki Gorman,Female,United States,02:43:10,NYC
1977,Dan Cloeter,Male,United States,02:17:52,Chicago
1977,Dorothy Doolittle,Female,United States,02:50:47,Chicago
1978,Michael Sp�ttel,Male,Germany,02:20:03,Berlin
1978,Ursula Blaschke,Female,Germany,02:57:09,Berlin
1978,Bill Rodgers,Male,United States,02:10:13,Boston
